gene_id	gene_name	gene_type	mean_expression	median_expression
N_unmapped			5027956.5	3430866.5
N_multimapping			7469903.0	6583361.5
N_noFeature			27039112.0	29733212.0
N_ambiguous			4686292.5	4149251.0
ENSG00000000003.15	TSPAN6	protein_coding	36.55309	7.0
ENSG00000000005.6	TNMD	protein_coding	0.23359074	0.0
ENSG00000000419.13	DPM1	protein_coding	914.6892	708.0
ENSG00000000457.14	SCYL3	protein_coding	493.3726	419.0
ENSG00000000460.17	C1orf112	protein_coding	395.18628	315.5
ENSG00000000938.13	FGR	protein_coding	8701.872	4167.5
ENSG00000000971.16	CFH	protein_coding	388.3311	52.0
ENSG00000001036.14	FUCA2	protein_coding	911.0782	722.0
ENSG00000001084.13	GCLC	protein_coding	1799.2104	1363.5
ENSG00000001167.14	NFYA	protein_coding	1759.8765	1527.5
ENSG00000001460.18	STPG1	protein_coding	173.62741	137.0
ENSG00000001461.17	NIPAL3	protein_coding	1224.3397	1019.0
ENSG00000001497.18	LAS1L	protein_coding	2274.5771	2125.5
ENSG00000001561.7	ENPP4	protein_coding	1036.9421	650.0
ENSG00000001617.12	SEMA3F	protein_coding	334.10425	93.5
ENSG00000001626.16	CFTR	protein_coding	1.2471043	0.0
ENSG00000001629.10	ANKIB1	protein_coding	1705.0907	1628.5
ENSG00000001630.17	CYP51A1	protein_coding	84.76834	73.0
ENSG00000001631.16	KRIT1	protein_coding	270.41022	250.5
ENSG00000002016.18	RAD52	protein_coding	723.7017	598.5
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	11.82529	8.0
ENSG00000002330.14	BAD	protein_coding	170.53572	146.5
ENSG00000002549.12	LAP3	protein_coding	2497.1921	1834.0
ENSG00000002586.20	CD99	protein_coding	14646.126	7559.0
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0.0	0.0
ENSG00000002587.10	HS3ST1	protein_coding	79.75386	20.0
ENSG00000002726.21	AOC1	protein_coding	123.84749	23.0
ENSG00000002745.13	WNT16	protein_coding	11.21139	6.0
ENSG00000002746.15	HECW1	protein_coding	10.655405	4.0
ENSG00000002822.15	MAD1L1	protein_coding	156.92471	126.0
ENSG00000002834.18	LASP1	protein_coding	10335.247	8843.0
ENSG00000002919.15	SNX11	protein_coding	1224.4343	1099.5
ENSG00000002933.9	TMEM176A	protein_coding	400.39963	60.5
ENSG00000003056.8	M6PR	protein_coding	3210.081	2634.0
ENSG00000003096.14	KLHL13	protein_coding	248.67085	90.0
ENSG00000003137.8	CYP26B1	protein_coding	6.208494	1.0
ENSG00000003147.19	ICA1	protein_coding	613.416	400.0
ENSG00000003249.15	DBNDD1	protein_coding	85.60521	25.0
ENSG00000003393.15	ALS2	protein_coding	1814.224	1205.0
ENSG00000003400.15	CASP10	protein_coding	2346.8938	2155.0
ENSG00000003402.20	CFLAR	protein_coding	9944.09	8979.5
ENSG00000003436.16	TFPI	protein_coding	1981.3379	1056.5
ENSG00000003509.16	NDUFAF7	protein_coding	514.8967	489.5
ENSG00000003756.17	RBM5	protein_coding	6782.303	6783.5
ENSG00000003987.14	MTMR7	protein_coding	301.07916	271.0
ENSG00000003989.18	SLC7A2	protein_coding	92.78185	5.0
ENSG00000004059.11	ARF5	protein_coding	2185.581	1766.5
ENSG00000004139.14	SARM1	protein_coding	275.42084	218.0
ENSG00000004142.12	POLDIP2	protein_coding	2270.3533	2000.0
ENSG00000004399.13	PLXND1	protein_coding	10392.791	8069.0
ENSG00000004455.17	AK2	protein_coding	7209.8843	5203.0
ENSG00000004468.13	CD38	protein_coding	4871.812	2974.5
ENSG00000004478.8	FKBP4	protein_coding	1944.9044	1166.0
ENSG00000004487.17	KDM1A	protein_coding	4463.3516	4065.0
ENSG00000004534.15	RBM6	protein_coding	4070.8716	3438.5
ENSG00000004660.15	CAMKK1	protein_coding	716.91986	542.0
ENSG00000004700.16	RECQL	protein_coding	704.6467	602.0
ENSG00000004766.17	VPS50	protein_coding	718.4421	609.0
ENSG00000004776.13	HSPB6	protein_coding	14.90444	4.0
ENSG00000004777.18	ARHGAP33	protein_coding	1383.4296	1064.5
ENSG00000004779.10	NDUFAB1	protein_coding	763.666	475.0
ENSG00000004799.8	PDK4	protein_coding	350.6303	63.0
ENSG00000004809.14	SLC22A16	protein_coding	779.6332	607.5
ENSG00000004838.14	ZMYND10	protein_coding	90.11487	65.0
ENSG00000004846.16	ABCB5	protein_coding	15.153475	3.0
ENSG00000004848.8	ARX	protein_coding	2.627413	1.0
ENSG00000004864.14	SLC25A13	protein_coding	952.1438	896.5
ENSG00000004866.22	ST7	protein_coding	557.11584	447.0
ENSG00000004897.12	CDC27	protein_coding	3405.7847	2855.0
ENSG00000004939.15	SLC4A1	protein_coding	25196.6	2649.5
ENSG00000004948.16	CALCR	protein_coding	0.8465251	0.0
ENSG00000004961.15	HCCS	protein_coding	483.306	386.5
ENSG00000004975.12	DVL2	protein_coding	1523.3387	1331.0
ENSG00000005001.10	PRSS22	protein_coding	4.9208493	2.0
ENSG00000005007.13	UPF1	protein_coding	5595.5493	5083.5
ENSG00000005020.13	SKAP2	protein_coding	2886.9866	2044.5
ENSG00000005022.6	SLC25A5	protein_coding	8419.755	6396.0
ENSG00000005059.16	MCUB	protein_coding	802.99615	593.5
ENSG00000005073.6	HOXA11	protein_coding	214.13707	3.0
ENSG00000005075.15	POLR2J	protein_coding	946.51447	479.5
ENSG00000005100.13	DHX33	protein_coding	1008.62933	854.5
ENSG00000005102.14	MEOX1	protein_coding	11.513514	3.0
ENSG00000005108.16	THSD7A	protein_coding	364.5782	15.0
ENSG00000005156.12	LIG3	protein_coding	3135.4392	3118.5
ENSG00000005175.10	RPAP3	protein_coding	1042.0173	904.0
ENSG00000005187.12	ACSM3	protein_coding	2034.0289	1016.0
ENSG00000005189.20	REXO5	protein_coding	784.6901	594.0
ENSG00000005194.15	CIAPIN1	protein_coding	1186.0193	1001.5
ENSG00000005206.17	SPPL2B	protein_coding	3005.1536	2602.0
ENSG00000005238.20	FAM214B	protein_coding	2077.2422	1424.5
ENSG00000005243.10	COPZ2	protein_coding	24.570463	9.0
ENSG00000005249.13	PRKAR2B	protein_coding	2386.7346	1178.5
ENSG00000005302.19	MSL3	protein_coding	2563.1814	2270.5
ENSG00000005339.15	CREBBP	protein_coding	12501.66	10779.0
ENSG00000005379.17	TSPOAP1	protein_coding	6424.589	4399.5
