gene_id	trimmed_mean_expression
ENSG00000000003.15	0.43723166
ENSG00000000005.6	0.009278029
ENSG00000000419.13	59.719906
ENSG00000000457.14	6.1688333
ENSG00000000460.17	5.426255
ENSG00000000938.13	191.35559
ENSG00000000971.16	3.3030121
ENSG00000001036.14	24.820305
ENSG00000001084.13	17.036245
ENSG00000001167.14	38.378048
ENSG00000001460.18	1.6280676
ENSG00000001461.17	10.988626
ENSG00000001497.18	15.24872
ENSG00000001561.7	17.901258
ENSG00000001617.12	5.0815325
ENSG00000001626.16	0.0067638424
ENSG00000001629.10	20.118149
ENSG00000001630.17	2.0366726
ENSG00000001631.16	3.8971434
ENSG00000002016.18	14.115127
ENSG00000002079.14	0.16854186
ENSG00000002330.14	7.7558413
ENSG00000002549.12	49.82946
ENSG00000002586.20	213.92963
ENSG00000002586.20_PAR_Y	0.0
ENSG00000002587.10	0.74321175
ENSG00000002726.21	1.807726
ENSG00000002745.13	0.2936845
ENSG00000002746.15	0.046339117
ENSG00000002822.15	1.9486208
ENSG00000002834.18	119.54868
ENSG00000002919.15	24.642838
ENSG00000002933.9	6.8185844
ENSG00000003056.8	71.578354
ENSG00000003096.14	2.7909987
ENSG00000003137.8	0.071119316
ENSG00000003147.19	9.884924
ENSG00000003249.15	1.1083574
ENSG00000003393.15	14.106875
ENSG00000003400.15	26.992262
ENSG00000003402.20	38.046913
ENSG00000003436.16	14.217553
ENSG00000003509.16	12.254853
ENSG00000003756.17	59.0505
ENSG00000003987.14	3.9893088
ENSG00000003989.18	0.44739327
ENSG00000004059.11	91.23538
ENSG00000004139.14	2.1914885
ENSG00000004142.12	66.86527
ENSG00000004399.13	88.22069
ENSG00000004455.17	59.02238
ENSG00000004468.13	56.18884
ENSG00000004478.8	27.857548
ENSG00000004487.17	70.25944
ENSG00000004534.15	47.104763
ENSG00000004660.15	7.8919806
ENSG00000004700.16	15.769274
ENSG00000004766.17	6.3047605
ENSG00000004776.13	0.47232914
ENSG00000004777.18	19.964937
ENSG00000004779.10	33.605602
ENSG00000004799.8	4.8040857
ENSG00000004809.14	15.650733
ENSG00000004838.14	2.5618775
ENSG00000004846.16	0.111996345
ENSG00000004848.8	0.038051527
ENSG00000004864.14	21.739008
ENSG00000004866.22	6.7365875
ENSG00000004897.12	42.568787
ENSG00000004939.15	345.94025
ENSG00000004948.16	0.0135604935
ENSG00000004961.15	16.00878
ENSG00000004975.12	23.351744
ENSG00000005001.10	0.1318926
ENSG00000005007.13	55.793987
ENSG00000005020.13	42.24636
ENSG00000005022.6	408.16904
ENSG00000005059.16	18.33852
ENSG00000005073.6	5.1501083
ENSG00000005075.15	42.51936
ENSG00000005100.13	14.602796
ENSG00000005102.14	0.3159399
ENSG00000005108.16	2.0081735
ENSG00000005156.12	21.836647
ENSG00000005175.10	16.419395
ENSG00000005187.12	22.517979
ENSG00000005189.20	14.900531
ENSG00000005194.15	27.478405
ENSG00000005206.17	33.11634
ENSG00000005238.20	25.221252
ENSG00000005243.10	0.8934436
ENSG00000005249.13	40.21228
ENSG00000005302.19	22.013557
ENSG00000005339.15	67.64532
ENSG00000005379.17	46.098434
ENSG00000005381.8	3634.1492
ENSG00000005421.9	0.103087485
ENSG00000005436.14	8.193406
ENSG00000005448.17	7.9340067
ENSG00000005469.12	3.1446474
ENSG00000005471.19	0.75438213
ENSG00000005483.21	95.45871
ENSG00000005486.17	59.864544
ENSG00000005513.10	0.3455355
ENSG00000005700.15	23.950201
ENSG00000005801.18	12.357789
ENSG00000005810.18	59.299644
ENSG00000005812.11	24.337656
ENSG00000005844.19	61.11271
ENSG00000005882.12	5.956741
ENSG00000005884.18	0.89571434
ENSG00000005889.16	34.178856
ENSG00000005893.16	78.081406
ENSG00000005961.19	46.441704
ENSG00000005981.13	0.0067623644
ENSG00000006007.12	49.6562
ENSG00000006015.18	21.232718
ENSG00000006016.11	0.52510375
ENSG00000006025.12	16.20218
ENSG00000006042.12	0.37603015
ENSG00000006047.13	0.7613018
ENSG00000006059.4	0.004287685
ENSG00000006062.17	14.451689
ENSG00000006071.15	0.05786404
ENSG00000006116.4	0.06311812
ENSG00000006118.15	2.5230975
ENSG00000006125.18	101.3476
ENSG00000006128.12	0.00972207
ENSG00000006194.10	16.151934
ENSG00000006210.7	0.03423192
ENSG00000006282.21	24.871166
ENSG00000006283.18	0.08658906
ENSG00000006327.14	20.290901
ENSG00000006377.11	0.029518424
ENSG00000006432.15	1.2855562
ENSG00000006451.8	39.017677
ENSG00000006453.14	3.7906392
ENSG00000006459.11	29.544538
ENSG00000006468.14	0.13998955
ENSG00000006530.18	7.8085966
ENSG00000006534.16	34.448704
ENSG00000006555.11	0.6839211
ENSG00000006576.16	14.533524
ENSG00000006606.9	0.12761459
ENSG00000006607.14	7.243328
ENSG00000006611.17	0.026272807
ENSG00000006625.18	12.492076
ENSG00000006634.8	22.733425
ENSG00000006638.13	6.634195
ENSG00000006652.15	23.546606
ENSG00000006659.13	0.091912016
ENSG00000006695.12	7.8020344
ENSG00000006704.11	1.7741042
ENSG00000006712.15	58.757305
ENSG00000006715.16	22.820889
ENSG00000006740.17	0.5661291
ENSG00000006744.19	29.35996
ENSG00000006747.15	0.1071998
ENSG00000006756.16	21.554216
ENSG00000006757.12	4.5427833
ENSG00000006788.14	0.023954188
ENSG00000006831.10	42.51986
ENSG00000006837.12	0.604471
ENSG00000007001.13	0.37390602
ENSG00000007038.11	27.485611
ENSG00000007047.15	23.75627
ENSG00000007062.12	31.961864
ENSG00000007080.11	36.69984
ENSG00000007129.18	14.112555
ENSG00000007168.14	34.33703
ENSG00000007171.18	0.06878176
ENSG00000007174.18	0.07461025
ENSG00000007202.15	82.80155
ENSG00000007216.15	0.022220887
ENSG00000007237.19	69.203476
ENSG00000007255.10	49.204735
ENSG00000007264.15	22.308182
ENSG00000007306.15	0.013508966
ENSG00000007312.13	9.090198
ENSG00000007314.12	0.43024996
ENSG00000007341.19	11.305911
ENSG00000007350.17	6.0374026
ENSG00000007372.24	0.02260877
ENSG00000007376.8	22.464304
ENSG00000007384.15	4.8358984
ENSG00000007392.17	45.62663
ENSG00000007402.12	2.2529235
ENSG00000007516.14	5.0670075
ENSG00000007520.4	31.460049
ENSG00000007541.17	16.73792
ENSG00000007545.16	12.846028
ENSG00000007866.22	1.7837341
ENSG00000007908.16	0.15672196
ENSG00000007923.16	14.630232
ENSG00000007933.13	0.122405805
ENSG00000007944.15	120.68805
ENSG00000007952.18	0.14702038
ENSG00000007968.7	41.04216
ENSG00000008018.9	126.869255
ENSG00000008056.14	1.9885824
ENSG00000008083.14	142.36156
ENSG00000008086.13	1.2206043
ENSG00000008118.10	0.43208274
ENSG00000008128.23	4.3099523
ENSG00000008130.15	69.16217
ENSG00000008196.13	0.004251133
ENSG00000008197.5	0.004135665
ENSG00000008226.20	5.0610247
ENSG00000008256.16	12.625614
ENSG00000008277.14	2.0429535
ENSG00000008282.9	101.84372
ENSG00000008283.16	9.177678
ENSG00000008294.21	51.452457
ENSG00000008300.17	2.9168892
ENSG00000008311.15	1.4139183
ENSG00000008323.15	4.8455095
ENSG00000008324.12	12.61433
ENSG00000008382.16	11.933228
ENSG00000008394.13	25.15842
ENSG00000008405.12	15.504075
ENSG00000008438.5	204.56818
ENSG00000008441.18	44.45649
ENSG00000008513.16	53.881924
ENSG00000008516.17	19.866476
ENSG00000008517.18	8.682987
ENSG00000008710.20	18.949396
ENSG00000008735.14	0.30429617
ENSG00000008838.20	38.971786
ENSG00000008853.17	4.8406353
ENSG00000008869.12	45.98444
ENSG00000008952.17	44.998592
ENSG00000008988.11	375.69394
ENSG00000009307.16	456.29102
ENSG00000009335.18	30.018965
ENSG00000009413.16	19.908924
ENSG00000009694.13	4.552976
ENSG00000009709.12	0.009459507
ENSG00000009724.17	11.724906
ENSG00000009765.15	0.014289457
ENSG00000009780.16	11.503102
ENSG00000009790.15	23.331808
ENSG00000009830.12	5.237344
ENSG00000009844.16	14.6188
ENSG00000009950.16	0.8515886
ENSG00000009954.11	56.375134
ENSG00000010017.13	88.573105
ENSG00000010030.14	1.1279638
ENSG00000010072.16	12.268488
ENSG00000010165.20	16.476528
ENSG00000010219.13	2.6808386
ENSG00000010244.19	81.96387
ENSG00000010256.11	98.78709
ENSG00000010270.14	33.716763
ENSG00000010278.15	20.038383
