gene_id	gene_name	gene_type	trimmed_mean_expression	median_expression	
ENSG00000000003.15	TSPAN6	protein_coding	0.43723166	0.127
ENSG00000000005.6	TNMD	protein_coding	0.009278029	0.0
ENSG00000000419.13	DPM1	protein_coding	59.719906	54.4645
ENSG00000000457.14	SCYL3	protein_coding	6.1688333	5.2514
ENSG00000000460.17	C1orf112	protein_coding	5.426255	4.35205
ENSG00000000938.13	FGR	protein_coding	191.35559	103.17015
ENSG00000000971.16	CFH	protein_coding	3.3030121	0.59319997
ENSG00000001036.14	FUCA2	protein_coding	24.820305	22.267052
ENSG00000001084.13	GCLC	protein_coding	17.036245	14.21825
ENSG00000001167.14	NFYA	protein_coding	38.378048	34.855247
ENSG00000001460.18	STPG1	protein_coding	1.6280676	1.42155
ENSG00000001461.17	NIPAL3	protein_coding	10.988626	9.311501
ENSG00000001497.18	LAS1L	protein_coding	15.24872	14.919149
ENSG00000001561.7	ENPP4	protein_coding	17.901258	12.1098995
ENSG00000001617.12	SEMA3F	protein_coding	5.0815325	1.7866
ENSG00000001626.16	CFTR	protein_coding	0.0067638424	0.0
ENSG00000001629.10	ANKIB1	protein_coding	20.118149	18.517601
ENSG00000001630.17	CYP51A1	protein_coding	2.0366726	1.7407501
ENSG00000001631.16	KRIT1	protein_coding	3.8971434	3.5401502
ENSG00000002016.18	RAD52	protein_coding	14.115127	11.89225
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	0.16854186	0.10155
ENSG00000002330.14	BAD	protein_coding	7.7558413	7.45
ENSG00000002549.12	LAP3	protein_coding	49.82946	42.5213
ENSG00000002586.20	CD99	protein_coding	213.92963	150.72751
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0.0	0.0
ENSG00000002587.10	HS3ST1	protein_coding	0.74321175	0.22905001
ENSG00000002726.21	AOC1	protein_coding	1.807726	0.5404
ENSG00000002745.13	WNT16	protein_coding	0.2936845	0.15175
ENSG00000002746.15	HECW1	protein_coding	0.046339117	0.0214
ENSG00000002822.15	MAD1L1	protein_coding	1.9486208	1.5840499
ENSG00000002834.18	LASP1	protein_coding	119.54868	114.778046
ENSG00000002919.15	SNX11	protein_coding	24.642838	23.337551
ENSG00000002933.9	TMEM176A	protein_coding	6.8185844	1.5411
ENSG00000003056.8	M6PR	protein_coding	71.578354	61.68135
ENSG00000003096.14	KLHL13	protein_coding	2.7909987	1.1791
ENSG00000003137.8	CYP26B1	protein_coding	0.071119316	0.021450002
ENSG00000003147.19	ICA1	protein_coding	9.884924	7.4803
ENSG00000003249.15	DBNDD1	protein_coding	1.1083574	0.4839
